Sr. No.,Title,Location,No. of Bedrooms,No. of Bathrooms,Total Area (Sq.Ft.),Date of Listing,Price
3240,"3 BHK 1539 Sqft Apartment for Sale in Thanisandra, Bangalore","Thanisandra, Bangalore",3 Bedrooms,3 Bathrooms,1539 Sq.ft Built Up(143.13 Sq.m),"Jan 24, 2025 Available From",₹1.25 Crores
3241,"3 BHK 2150 Sqft Villa for Sale in Guddahatti, Bangalore.","Guddahatti, Bangalore",3 Bedrooms,3 Bathrooms,2150 Sq.ft Built Up(199.95 Sq.m),"Sep 17, 2024 Available From",₹96.75 Lakhs
3242,"3 BHK 2750 Sqft Villa for Sale in Guddahatti, Bangalore.","Guddahatti, Bangalore",3 Bedrooms,3 Bathrooms,2750 Sq.ft Built Up(255.75 Sq.m),"Sep 17, 2024 Available From",₹1.10 Crores
3243,"2 BHK 1060 Sqft Apartment for Sale in Kogilu, Bangalore.","Kogilu, Bangalore",2 Bedrooms,2 Bathrooms,1060 Sq.ft Built Up(98.58 Sq.m),"Sep 17, 2024 Available From",₹49.29 Lakhs
3244,"2 BHK 1240 Sqft Apartment for Sale in Seegehalli, Bangalore.","Seegehalli, Bangalore",2 Bedrooms,2 Bathrooms,1240 Sq.ft Built Up(115.32 Sq.m),"Sep 17, 2024 Available From",₹74.55 Lakhs
3245,"2 BHK 1662 Sqft Apartment for Sale in Jigani, Bangalore.","Jigani, Bangalore",2 Bedrooms,2 Bathrooms,1662 Sq.ft Built Up(154.57 Sq.m),"Sep 17, 2024 Available From",₹73.31 Lakhs
3246,"2 BHK 1272 Sqft Apartment for Sale in Hoskote, Bangalore.","Hoskote, Bangalore",2 Bedrooms,2 Bathrooms,1272 Sq.ft Built Up(118.30 Sq.m),"Sep 30, 2025 Available From",₹38.16 Lakhs
3247,"4 BHK 1905 Sq.ft, Apartment for Sale in Ragihalli, Bangalore","Ragihalli, Bangalore",4 Bedrooms,4 Bathrooms,1905 Sq.ft Built Up(177.16 Sq.m),"Sep 17, 2024 Available From",₹1.04 Crores
3248,"4 BHK 1864 Sq.ft, Apartment for Sale in Byadarahalli, Bangalore","Byadarahalli, Bangalore",4 Bedrooms,4 Bathrooms,1864 Sq.ft Built Up(173.35 Sq.m),"Sep 17, 2024 Available From",₹1.11 Crores
3249,"2 BHK 1138 Sqft Apartment for Sale in Hennur Road, Bangalore.","Hennur Road, Bangalore",2 Bedrooms,2 Bathrooms,1138 Sq.ft Built Up(105.83 Sq.m),"Dec 31, 2024 Available From",₹90.74 Lakhs
3250,"4 BHK 4465 Sqft Apartment for Sale in Malleshwaram, Bangalore","Malleshwaram, Bangalore",4 Bedrooms,4 Bathrooms,4465 Sq.ft Built Up(415.25 Sq.m),"Jan 14, 2025 Available From",₹8.55 Crores
3251,"3 BHK Apartment for Sale in Sarjapur Road, Bangalore","Sarjapur Road, Bangalore",3 Bedrooms,2 Bathrooms,1685 Sq.ft Built Up(156.71 Sq.m),"Dec 31, 2027 Available From",₹1.68 Crores
3252,"2 BHK Apartment for Sale in Kannamangala, Bangalore","Kannamangala, Bangalore",2 Bedrooms,2 Bathrooms,1550 Sq.ft Built Up(144.15 Sq.m),"Nov 11, 2024 Available From",₹1.21 Crores
3253,"2 BHK Apartment for Sale in Electronic City, Bangalore","Electronic City, Bangalore",2 Bedrooms,2 Bathrooms,1290 Sq.ft Built Up(119.97 Sq.m),"Jan 22, 2025 Available From",₹1.50 Crores
3254,"4+ BHK 3100 Sq.ft, Villa for Sale in Sarjapur Attibele Road, Bangalore","Sarjapur Attibele Road, Bangalore",4+ Bedrooms,2 Bathrooms,3100 Sq.ft Built Up(288.30 Sq.m),"Dec 31, 2025 Available From",₹2.50 Crores
3255,"4 BHK 2232 Sqft Apartment for Sale in Sarjapur Road, Bangalore","Sarjapur Road, Bangalore",4 Bedrooms,4 Bathrooms,2232 Sq.ft Built Up(207.58 Sq.m),"Jan 21, 2025 Available From",₹3 Crores
3256,"2 BHK 1464 Sqft Apartment for Sale in Sarjapur Road, Bangalore.","Sarjapur Road, Bangalore",2 Bedrooms,2 Bathrooms,1464 Sq.ft Built Up(136.15 Sq.m),"Sep 17, 2024 Available From",₹1.11 Crores
3257,"3 BHK 1760 Sqft Apartment for Sale in Raja Rajeshwari Nagar, Bangalore.","Raja Rajeshwari Nagar, Bangalore",3 Bedrooms,3 Bathrooms,1760 Sq.ft Built Up(163.68 Sq.m),"Sep 17, 2024 Available From",₹1.20 Crores
3258,"2 BHK 900 Sqft Apartment for Sale in Chikkanagamangala, Bangalore.","Chikkanagamangala, Bangalore",2 Bedrooms,2 Bathrooms,900 Sq.ft Built Up(83.70 Sq.m),"Sep 17, 2024 Available From",₹34.20 Lakhs
3259,"3 BHK Apartment for Sale in Hulimavu, Bangalore","Hulimavu, Bangalore",3 Bedrooms,2 Bathrooms,3071 Sq.ft Built Up(285.60 Sq.m),"Oct 22, 2024 Available From",₹3.12 Crores
3260,"1 BHK 600 Sqft Apartment for Sale in Chikkanagamangala, Bangalore.","Chikkanagamangala, Bangalore",1 Bedroom,1 Bathroom,600 Sq.ft Built Up(55.80 Sq.m),"Sep 17, 2024 Available From",₹22.80 Lakhs
3261,"2 BHK Apartment for Sale in Thanisandra, Bangalore","Thanisandra, Bangalore",2 Bedrooms,2 Bathrooms,1375 Sq.ft Built Up(127.88 Sq.m),"Oct 22, 2024 Available From",₹1.39 Crores
3262,"2 BHK Apartment for Sale in Chansandra, Bangalore","Chansandra, Bangalore",2 Bedrooms,2 Bathrooms,1310 Sq.ft Built Up(121.83 Sq.m),"Oct 22, 2024 Available From",₹1.64 Crores
3263,"4 BHK 1925 Sq.ft, Villa for Sale in Chelekare, Bangalore","Chelekare, Bangalore",4 Bedrooms,4 Bathrooms,1925 Sq.ft Built Up(179.03 Sq.m),"Sep 17, 2024 Available From",₹1.12 Crores
3264,"4 BHK 1981 Sq.ft, Villa for Sale in Siddapura, Bangalore","Siddapura, Bangalore",4 Bedrooms,4 Bathrooms,1981 Sq.ft Built Up(184.23 Sq.m),"Sep 17, 2024 Available From",₹1.16 Crores
3265,"2 BHK 932 Sqft Apartment for Sale in Sarjapur Road, Bangalore.","Sarjapur Road, Bangalore",2 Bedrooms,2 Bathrooms,932 Sq.ft Built Up(86.68 Sq.m),"Sep 17, 2024 Available From",₹46.60 Lakhs
3266,"2 BHK 1552 Sqft Apartment for Sale in Raja Rajeshwari Nagar, Bangalore.","Raja Rajeshwari Nagar, Bangalore",2 Bedrooms,2 Bathrooms,1552 Sq.ft Built Up(144.34 Sq.m),"Sep 17, 2024 Available From",₹90.02 Lakhs
3267,"3 BHK Apartment for Sale in Whitefield, Bangalore","Whitefield, Bangalore",3 Bedrooms,2 Bathrooms,1529 Sq.ft Built Up(142.20 Sq.m),"Oct 22, 2024 Available From",₹1.10 Crores
3268,"2 BHK 1000 Sqft Apartment for Sale in Sarjapur Road, Bangalore.","Sarjapur Road, Bangalore",2 Bedrooms,2 Bathrooms,1000 Sq.ft Built Up(93.00 Sq.m),"Dec 31, 2024 Available From",₹36 Lakhs
3269,"4 BHK Apartment for Sale in Whitefield, Bangalore","Whitefield, Bangalore",4 Bedrooms,4 Bathrooms,3186 Sq.ft Built Up(296.30 Sq.m),"Oct 22, 2024 Available From",₹5 Crores
3270,"3 BHK Apartment for Sale in Hulimavu, Bangalore","Hulimavu, Bangalore",3 Bedrooms,2 Bathrooms,3275 Sq.ft Built Up(304.57 Sq.m),"Oct 22, 2024 Available From",₹3.12 Crores
3271,"3 BHK Apartment for Sale in Sarjapur Road, Bangalore","Sarjapur Road, Bangalore",3 Bedrooms,3 Bathrooms,1988 Sq.ft Built Up(184.88 Sq.m),"Dec 10, 2024 Available From",₹1.35 Crores
3272,"3 BHK 1740 Sqft Apartment for Sale in Kanakapura Road, Bangalore","Kanakapura Road, Bangalore",3 Bedrooms,3 Bathrooms,1740 Sq.ft Built Up(161.82 Sq.m),"Dec 31, 2025 Available From",₹2.40 Crores
3273,"2 BHK 1393 Sq.ft, Apartment for Sale in Mysore Road, Bangalore","Mysore Road, Bangalore",2 Bedrooms,2 Bathrooms,1393 Sq.ft Built Up(129.55 Sq.m),"Nov 8, 2024 Available From",₹1.34 Crores
3274,"2 BHK 1150 Sqft Apartment for Sale in Doddabanahalli, Bangalore.","Doddabanahalli, Bangalore",2 Bedrooms,2 Bathrooms,1150 Sq.ft Built Up(106.95 Sq.m),"Dec 31, 2025 Available From",₹54.36 Lakhs
3275,"3 BHK 1540 Sqft Apartment for Sale in Doddabanahalli, Bangalore.","Doddabanahalli, Bangalore",3 Bedrooms,3 Bathrooms,1540 Sq.ft Built Up(143.22 Sq.m),"Dec 31, 2025 Available From",₹70.94 Lakhs
3276,"3 BHK 1300 Sqft Apartment for Sale in Raja Rajeshwari Nagar, Bangalore.","Raja Rajeshwari Nagar, Bangalore",3 Bedrooms,3 Bathrooms,1300 Sq.ft Built Up(120.90 Sq.m),"Sep 17, 2024 Available From",₹88 Lakhs
3277,"1 BHK 677 Sqft Apartment for Sale in Sarjapur, Bangalore.","Sarjapur, Bangalore",1 Bedroom,1 Bathroom,677 Sq.ft Built Up(62.96 Sq.m),"Sep 17, 2024 Available From",₹29.22 Lakhs
3278,"2 BHK 1020 Sqft Apartment for Sale in Raja Rajeshwari Nagar, Bangalore.","Raja Rajeshwari Nagar, Bangalore",2 Bedrooms,2 Bathrooms,1020 Sq.ft Built Up(94.86 Sq.m),"Sep 17, 2024 Available From",₹70 Lakhs
3279,"3 BHK 1650 Sqft Apartment for Sale in Malleshwaram, Bangalore.","Malleshwaram, Bangalore",3 Bedrooms,3 Bathrooms,1650 Sq.ft Built Up(153.45 Sq.m),"Sep 17, 2024 Available From",₹2.39 Crores
3280,"2 BHK 1688 Sqft Apartment for Sale in Hebbal, Bangalore.","Hebbal, Bangalore",2 Bedrooms,2 Bathrooms,1688 Sq.ft Built Up(156.98 Sq.m),"Sep 17, 2024 Available From",₹1.35 Crores
3281,"4 BHK 2082 Sq.ft, Villa for Sale in Tharaballi, Bangalore","Tharaballi, Bangalore",4 Bedrooms,4 Bathrooms,2082 Sq.ft Built Up(193.63 Sq.m),"Sep 17, 2024 Available From",₹1.46 Crores
3282,"4 BHK 2192 Sq.ft, Villa for Sale in Kannuru, Bangalore","Kannuru, Bangalore",4 Bedrooms,4 Bathrooms,2192 Sq.ft Built Up(203.86 Sq.m),"Sep 17, 2024 Available From",₹1.38 Crores
3283,"4+ BHK Villa for Sale in Devanahalli, Bangalore","Devanahalli, Bangalore",4+ Bedrooms,3 Bathrooms,4196 Sq.ft Built Up(390.23 Sq.m),"Oct 22, 2024 Available From",₹4.60 Crores
3284,"4 BHK 1952 Sq.ft, Villa for Sale in Ashirvad Colony, Bangalore","Ashirvad Colony, Bangalore",4 Bedrooms,4 Bathrooms,1952 Sq.ft Built Up(181.54 Sq.m),"Sep 17, 2024 Available From",₹1.37 Crores
3285,"4 BHK 1969 Sq.ft, Villa for Sale in Rachenahalli, Bangalore","Rachenahalli, Bangalore",4 Bedrooms,4 Bathrooms,1969 Sq.ft Built Up(183.12 Sq.m),"Sep 17, 2024 Available From",₹1.08 Crores
3286,"3 BHK 1230 Sq.ft, Apartment for Sale in CQAL Layout, Bangalore","CQAL Layout, Bangalore",3 Bedrooms,3 Bathrooms,1230 Sq.ft Built Up(114.39 Sq.m),"Sep 17, 2024 Available From",₹64.28 Lakhs
3287,"3 BHK Villa for Sale in Hoskote, Bangalore","Hoskote, Bangalore",3 Bedrooms,2 Bathrooms,2650 Sq.ft Built Up(246.45 Sq.m),"Oct 22, 2024 Available From",₹2.09 Crores
3288,"3 BHK Apartment for Sale in Rachenahalli, Bangalore","Rachenahalli, Bangalore",3 Bedrooms,1 Bathroom,1983 Sq.ft Built Up(184.42 Sq.m),"Dec 31, 2028 Available From",₹1.77 Crores
